Year,Type,Region,Recipient,Total,African Development Bank,African Development Fund,Arab Bank for Economic Development in Africa,Arab Fund,Asian Development Bank,Asian Infrastructure Investment Bank,Caribbean Development Bank,Central American Bank for Economic Integration,Council of Europe Development Bank,Development Bank of Latin America,European Bank for Reconstruction and Development,European Investment Bank,IDB Invest,Inter-American Development Bank,International Bank for Reconstruction and Development,International Development Association,Islamic Development Bank
2020,ODA Grants,North & Central America,Jamaica,0.2781,,,,,,,,,,,,,,0.27807,,,
2020,ODA Grants,North & Central America,Mexico,0.171,,,,,,,,,,,,,,0.17097,,,
2020,ODA Grants,North & Central America,Nicaragua,4.497,,,,,,,,,,,,,,0.45461,,4.04237,
2020,ODA Grants,North & Central America,Panama,0.2757,,,,,,,,,,,,,,0.27571,,,
2020,ODA Grants,Oceania,Micronesia,3.8414,,,,,3.8414,,,,,,,,,,,,
2020,ODA Grants,Oceania,Kiribati,1.2556,,,,,0.8681,,,,,,,,,,,0.38749,
2020,ODA Grants,Oceania,Marshall Islands,8.889,,,,,6.93311,,,,,,,,,,,1.95588,
2020,ODA Grants,Oceania,Nauru,0.5787,,,,,0.57873,,,,,,,,,,,,
2020,ODA Grants,Oceania,Niue,0.2894,,,,,0.28937,,,,,,,,,,,,
2020,ODA Grants,Oceania,"Oceania, regional",0.5717,,,,,0.57173,,,,,,,,,,,,
2020,ODA Grants,North & Central America,El Salvador,0.0337,,,,,,,,,,,,,,0.03367,,,
2020,ODA Grants,Oceania,Palau,0.5787,,,,,0.57873,,,,,,,,,,,,
2020,ODA Grants,North & Central America,Guatemala,0.0522,,,,,,,,,,,,,,0.05224,,,
2020,ODA Loans,Africa,Guinea,17.552,,0.0,,,,,,,,,,,,,,17.552,
2020,ODA Grants,North & Central America,Dominican Republic,0.091,,,,,,,,,,,,,,0.09096,,,
2020,ODA Grants,Middle East,"Middle East, regional",1.4786,,,,0.04508,,,,,,,,,,,,,1.43356
2020,ODA Grants,Asia,Viet Nam,0.1062,,,,,0.10619,,,,,,,,,,,,
2020,ODA Grants,Oceania,Samoa,14.9611,,,,,7.22401,,,,,,,,,,,7.73705,
2020,ODA Grants,Europe,Albania,0.1815,,,,,,,,,0.18152,,,,,,,,
2020,ODA Grants,Europe,North Macedonia,0.1966,,,,,,,,,0.19665,,,,,,,,
2020,ODA Grants,Middle East,Jordan,3.9029,,,,3.42289,,,,,,,,,,,,,0.47998
2020,ODA Grants,Middle East,Lebanon,0.3815,,,,0.38148,,,,,,,,,,,,,
2020,ODA Grants,Middle East,West Bank and Gaza Strip,21.6414,,,,,,,,,,,,,,,,,21.6414
2020,ODA Grants,North & Central America,Costa Rica,0.1251,,,,,,,,,,,,,,0.12509,,,
2020,ODA Grants,Middle East,Yemen,53.6248,,,,0.14565,,,,,,,,,,,,53.0947,0.38441
2020,ODA Grants,North & Central America,"America, regional",0.8535,,,,,,,,,,,,,,0.85354,,,
2020,ODA Grants,North & Central America,Belize,0.073,,,,,,,,,,,,,,0.07298,,,
2020,ODA Grants,North & Central America,"Caribbean & Central America, regional",1.4682,,,,,,,,,,,,,,,,1.46815,
2020,ODA Grants,North & Central America,"Caribbean, regional",0.2699,,,,,,,0.0,,,,,,,0.26986,,,
2020,ODA Grants,North & Central America,"Central America, regional",9.9032,,9.90316,,,,,,,,,,,,,,,
2020,ODA Grants,Oceania,Papua New Guinea,1.7362,,,,,1.7362,,,,,,,,,,,,
2020,ODA Loans,Africa,Ghana,54.8913,,0.0,,,,,,,,,,,,,,54.89128,
2020,ODA Grants,Oceania,Solomon Islands,3.5228,,,,,3.52283,,,,,,,,,,,,
2020,ODA Loans,Africa,Burundi,0.0,,,,,,,,,,,,,,,,0.0,
2020,ODA Grants,Asia,Turkmenistan,0.0,,,,,0.0,,,,,,,,,,,,
2020,ODA Loans,Africa,Gambia,0.8058,,0.0,,,,,,,,,,,,,,0.80584,
2020,ODA Loans,Africa,Ethiopia,53.248,,0.0,,,,,,,,,,,,,,53.24804,
2020,ODA Loans,Africa,Equatorial Guinea,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,
2020,ODA Loans,Africa,Egypt,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,
2020,ODA Loans,Africa,Djibouti,9.3094,,0.82259,,,,,,,,,,,,,,8.48681,
2020,ODA Loans,Africa,Democratic Republic of the Congo,70.1544,,0.0,,,,,,,,,,,,,,70.15443,
2020,ODA Loans,Africa,C̫te d'Ivoire,73.1254,,,0.0,,,,,,,,,,,,,73.12536,
2020,ODA Loans,Africa,Congo,9.7242,,,,,,,,,,,,,,,,9.72423,
2020,ODA Loans,Africa,Comoros,3.2678,,,,,,,,,,,,,,,,3.26785,
2020,ODA Loans,Africa,Chad,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,
2020,ODA Loans,Africa,Central African Republic,0.0,,,,,,,,,,,,,,,,0.0,
2020,ODA Loans,Africa,Cameroon,22.9093,,0.0,,,,,,,,,,,,,,22.90933,
2020,ODA Loans,Africa,Cabo Verde,5.4324,,0.0,,,,,,,,,,,,,,5.43241,
2020,ODA Loans,Africa,Burkina Faso,25.7306,,0.0,0.0,,,,,,,,,,,,,25.73061,0.0
2020,ODA Grants,Oceania,Tonga,6.1975,,,,,6.19753,,,,,,,,,,,,
2020,ODA Loans,Africa,Botswana,0.0,,0.0,,,,,,,,,,,,,,,
2020,ODA Loans,Africa,Benin,10.8976,,0.0,0.0,,,,,,,,,,,,,10.89757,
2020,ODA Loans,Africa,Angola,0.0,,0.0,,,,,,,,,,,,,,0.0,
2020,ODA Grants,South America,Suriname,0.0639,,,,,,,,,,,,,,0.0639,,,
2020,ODA Grants,South America,Peru,0.1823,,,,,,,,,,,,,,0.18229,,,
2020,ODA Grants,South America,Paraguay,0.0188,,,,,,,,,,,,,,0.01883,,,
2020,ODA Grants,South America,Guyana,0.0088,,,,,,,,,,,,,,0.00882,,,
2020,ODA Grants,South America,Ecuador,0.1768,,,,,,,,,,,,,,0.17682,,,
2020,ODA Grants,South America,Colombia,0.7792,,,,,,,,,,,,,,0.77925,,,
2020,ODA Grants,South America,Brazil,0.2541,,,,,,,,,,,,,,0.25406,,,
2020,ODA Grants,South America,Bolivia,0.4962,,,,,,,,,,,,,,0.49621,,,
2020,ODA Grants,South America,Argentina,0.1911,,,,,,,,,,,,,,0.19114,,,
2020,ODA Grants,Oceania,Vanuatu,7.3062,,,,,7.30616,,,,,,,,,,,,
2020,ODA Grants,Oceania,Tuvalu,3.8027,,,,,1.29407,,,,,,,,,,,2.50866,
2020,ODA Grants,Asia,Uzbekistan,1.8791,,,,,1.76443,,,,,,,,,,,,0.11468
2020,ODA Grants,Africa,"Africa, regional",32.7148,0.0,32.71479,0.0,,,,,,,,,,,,,,
2020,ODA Grants,Asia,Tajikistan,21.0707,,,,,15.58862,,,,,,,,,,,5.48207,
2020,ODA Grants,Africa,Libya,0.0,,,,0.0,,,,,,,,,,,,,
2020,ODA Grants,Africa,Ethiopia,45.5195,,,,,,,,,,,,,,,,45.5195,
2020,ODA Grants,Africa,Gambia,11.553,,,0.0,,,,,,,,,,,,,11.55297,
2020,ODA Grants,Africa,Ghana,0.944,,,,,,,,,,,,,,,,0.94403,
2020,ODA Grants,Africa,Guinea,19.0968,,,,,,,,,,,,,,,,18.83134,0.26547
2020,ODA Grants,Africa,Guinea-Bissau,0.4,,,,,,,,,,,,,,,,0.39999,
2020,ODA Grants,Africa,Liberia,4.3952,,,0.0,,,,,,,,,,,,,4.39515,
2020,ODA Grants,Africa,Madagascar,59.1504,,,0.0,,,,,,,,,,,,,59.15038,
2020,ODA Grants,Africa,Niger,16.0324,,,,,,,,,,,,,,,,15.76696,0.26547
2020,ODA Grants,Africa,Malawi,16.7258,,,,,,,,,,,,,,,,16.72581,
2020,ODA Grants,Africa,Mali,23.4513,,,0.0,,,,,,,,,,,,,23.18586,0.26547
2020,ODA Grants,Africa,Mauritania,45.2583,,,,2.69462,,,,,,,,,,,,42.53609,0.02761
2020,ODA Grants,Africa,"Middle Africa, regional",1.9241,,1.92413,,,,,,,,,,,,,,,
2020,ODA Grants,Africa,Morocco,2.1216,,,,1.73399,,,,,,,,,,,,,0.38759
2020,ODA Grants,Africa,Mozambique,46.331,,,,,,,,,,,,,,,,46.33095,
2020,ODA Grants,Africa,Equatorial Guinea,0.0,,,0.0,,,,,,,,,,,,,,
2020,ODA Grants,Africa,Egypt,0.0,,,,0.0,,,,,,,,,,,,,
2020,ODA Grants,Africa,"Eastern Africa, regional",11.5327,,9.37461,,,,,,,,,,,,,,2.15809,
2020,ODA Grants,Africa,Djibouti,2.7131,,0.01679,,0.86699,,,,,,,,,,,,1.56388,0.26547
2020,ODA Grants,Africa,Democratic Republic of the Congo,173.8618,,,0.0,,,,,,,,,,,,,173.86183,
2020,ODA Grants,Africa,C̫te d'Ivoire,1.934,,,,,,,,,,,,,,,,1.93396,
2020,ODA Grants,Africa,Comoros,9.0554,,,,0.48898,,,,,,,,,,,,7.8656,0.70085
2020,ODA Grants,Africa,Chad,22.3476,,,0.0,,,,,,,,,,,,,22.34757,
2020,ODA Grants,Africa,Central African Republic,25.5959,,,,,,,,,,,,,,,,25.59595,
2020,ODA Grants,Africa,Burundi,17.0935,,0.11815,,,,,,,,,,,,,,16.83731,0.13805
2020,ODA Grants,Africa,Burkina Faso,28.7962,,,0.0,,,,,,,,,,,,,28.53072,0.26547
2020,ODA Grants,Africa,Botswana,0.0,,,0.0,,,,,,,,,,,,,,
2020,ODA Grants,Africa,Benin,18.3125,,,,,,,,,,,,,,,,18.31246,
2020,ODA Grants,Africa,Angola,0.0,,,0.0,,,,,,,,,,,,,,
2020,ODA Grants,Africa,Algeria,1.734,,,,1.73399,,,,,,,,,,,,,
2020,Equity Investment,Africa,"Africa, regional",39.2599,,,,,,,,,,,,39.25991,,,,,
2020,ODA Loans,Africa,Kenya,81.0608,,4.28049,,,,,,,,,,,,,,76.78031,
2020,ODA Grants,Africa,Namibia,0.0,,,0.0,,,,,,,,,,,,,,
2020,ODA Grants,Africa,Rwanda,0.0,,,,,,,,,,,,,,,,0.0,
2020,ODA Grants,Asia,Sri Lanka,7.9882,,,,,7.98816,,,,,,,,,,,,
2020,ODA Grants,Asia,Kyrgyzstan,8.9176,,,,,4.74574,,,,,,,,,,,4.17188,
2020,ODA Grants,Asia,China (People's Republic of),0.4594,,,,,0.45938,,,,,,,,,,,,
2020,ODA Grants,Asia,"Far East Asia, regional",1.4,,,,,1.39999,,,,,,,,,,,,
2020,ODA Grants,Asia,Georgia,0.0,,,,,0.0,,,,,,,,,,,,
2020,ODA Grants,Asia,India,0.754,,,,,0.75405,,,,,,,,,,,,
2020,ODA Grants,Asia,Indonesia,2.1822,,,,,1.7362,,,,,,,,,,,,0.44597
2020,ODA Grants,Asia,Kazakhstan,0.0,,,,,0.0,,,,,,,,,,,,
2020,ODA Grants,Asia,Lao People's Democratic Republic,2.3209,,,,,2.29166,,,,,,,,,,,0.02923,
2020,ODA Grants,Africa,Sao Tome and Principe,3.7007,,,,,,,,,,,,,,,,3.70071,
2020,ODA Grants,Asia,Maldives,10.8396,,,,,7.72262,,,,,,,,,,,3.11702,
2020,ODA Grants,Asia,Mongolia,6.5705,,,,,6.57052,,,,,,,,,,,,
2020,ODA Grants,Asia,Nepal,1.95,,,,,1.84379,,,,,,,,,,,,0.10619
2020,ODA Grants,Asia,Pakistan,1.3048,,,,,1.30484,,,,,,,,,,,0.0,
2020,ODA Grants,Asia,Philippines,2.0721,,,,,1.85968,,,,,,,,,,,,0.21238
2020,ODA Grants,Asia,"South Asia, regional",0.075,,,,,0.07499,,,,,,,,,,,,
2020,ODA Grants,Asia,"Central Asia, regional",0.095,,,,,0.09498,,,,,,,,,,,,
2020,ODA Grants,Asia,Bhutan,2.1252,,,,,2.12521,,,,,,,,,,,,
2020,ODA Grants,Asia,Bangladesh,25.3271,,,,,1.80696,,,,,,,,,,,23.37151,0.14867
2020,ODA Grants,Asia,"Asia, regional",43.6462,,,,,34.33164,,,,,,,,,,,,9.31461
2020,ODA Grants,Asia,Armenia,1.2696,,,,,1.26964,,,,,,,,,,,,
2020,ODA Grants,Asia,Afghanistan,164.1754,,,,,40.82262,,,,,,,,,,,123.30069,0.05203
2020,ODA Grants,Africa,Zimbabwe,6.9879,,6.77554,0.0,,,,,,,,,,,,,,0.21238
2020,ODA Grants,Africa,"Western Africa, regional",5.6625,,,,,,,,,,,,,,,,5.66253,
2020,ODA Grants,Africa,Uganda,0.0,0.0,,,,,,,,,,,,,,,0.0,
2020,ODA Grants,Africa,Tunisia,3.4502,0.04814,,,3.40208,,,,,,,,,,,,,
2020,ODA Grants,Africa,Togo,14.604,,,,,,,,,,,,,,,,14.60401,
2020,ODA Grants,Africa,Sudan,7.2336,,7.00001,,,,,,,,,,,,,,,0.23362
2020,ODA Grants,Africa,"South of Sahara, regional",0.0234,,,,,,,,,,,,,,,,,0.02336
2020,ODA Grants,Africa,South Sudan,26.2881,,,,,,,,,,,,,,,,26.28808,
2020,ODA Grants,Africa,Somalia,9.0575,,,,,,,,,,,,,,,,9.04687,0.01062
2020,ODA Grants,Africa,Sierra Leone,8.0204,,,,,,,,,,,,,,,,8.02043,
2020,ODA Grants,Africa,Senegal,0.531,,,,,,,,,,,,,,,,,0.53095
2020,ODA Loans,Africa,Guinea-Bissau,5.2588,,0.0,,,,,,,,,,,,,,5.25882,0.0
2020,ODA Loans,Asia,Myanmar,73.0963,,,,,42.07757,,,,,,,,,,,31.01872,
2020,ODA Loans,Africa,Lesotho,6.8005,,0.0,,,,,,,,,,,,,,6.80048,
2020,Other Official Flows (non Export Credit),Asia,Georgia,101.1769,,,,,13.22966,70.40791,,,,,,,,,17.53929,,
2020,Other Official Flows (non Export Credit),Africa,Mozambique,0.0,,,,,,,,,,,,,,,,,0.0
2020,Other Official Flows (non Export Credit),Africa,Tunisia,21.7913,,,,,,,,,,,,,,,21.79126,,
2020,Other Official Flows (non Export Credit),Asia,"Asia, regional",5.712,,,,,5.71195,,,,,,,,,,,,
2020,Other Official Flows (non Export Credit),Asia,Azerbaijan,0.0,,,,,,,,,,,,,,,0.0,,
2020,Other Official Flows (non Export Credit),Asia,Bangladesh,0.0,,,,,,0.0,,,,,,,,,,,
2020,Other Official Flows (non Export Credit),Asia,China (People's Republic of),550.3182,,,,,34.10291,404.75669,,,,,,,,,111.45856,,
2020,Other Official Flows (non Export Credit),Asia,India,1757.1869,,,,,541.03495,266.80085,,,,,,,,,885.52329,63.82779,
2020,Other Official Flows (non Export Credit),Asia,Thailand,0.0,,,,,0.0,,,,,,,,,,,,
2020,Other Official Flows (non Export Credit),Asia,Indonesia,834.7924,,,,,273.20587,225.65246,,,,,,,,,335.93407,,0.0
2020,Other Official Flows (non Export Credit),Asia,Kazakhstan,139.5331,,,,,118.36563,,,,,,,,,,21.16751,,
2020,Other Official Flows (non Export Credit),Asia,Maldives,1.5715,,,,,,1.5715,,,,,,,,,,,
2020,Other Official Flows (non Export Credit),Asia,Mongolia,32.5766,,,,,29.71589,,,,,,,,,,2.86071,,
2020,Other Official Flows (non Export Credit),Asia,Pakistan,197.7236,,,,,197.72361,,,,,,,,,,,,
2020,Other Official Flows (non Export Credit),Asia,Philippines,554.6512,,,,,482.28432,,,,,,,,,,72.36685,,
2020,Other Official Flows (non Export Credit),Africa,Morocco,29.0419,0.0,,,,,,,,,,,,,,29.04188,,
2020,Other Official Flows (non Export Credit),Africa,Mali,0.0,,,,,,,,,,,,,,,,,0.0
2020,Other Official Flows (non Export Credit),Africa,Liberia,0.0,,,,,,,,,,,,,,,,0.0,
2020,Other Official Flows (non Export Credit),Africa,Gabon,16.2514,,,,,,,,,,,,,,,16.25136,,
2020,Other Official Flows (non Export Credit),Africa,Eswatini,4.9112,,,,,,,,,,,,,,,4.91119,,
2020,Other Official Flows (non Export Credit),Africa,Equatorial Guinea,0.0,0.0,,,,,,,,,,,,,,,,
2020,Other Official Flows (non Export Credit),Africa,Egypt,49.2609,,,,,,,,,,,,,,,49.26091,,
2020,Other Official Flows (non Export Credit),Africa,Burkina Faso,0.5767,,,,,,,,,,,,,,,,0.57667,0.0
2020,Other Official Flows (non Export Credit),Africa,Botswana,0.0,,,,,,,,,,,,,,,0.0,,
2020,Other Official Flows (non Export Credit),Africa,Benin,0.0,,,,,,,,,,,,,,,,,0.0
2020,Other Official Flows (non Export Credit),Africa,Angola,44.4416,,,,,,,,,,,,,,,44.44156,,
2020,Other Official Flows (non Export Credit),Africa,"Africa, regional",0.0161,0.01614,,,,,,,,,,,0.0,,,,,
2020,ODA Loans,South America,Suriname,0.0,,,,,,,,,,,,,,0.0,,,
2020,ODA Loans,South America,Paraguay,0.0,,,,,,,,,,,,,,0.0,,,
2020,ODA Loans,South America,Guyana,2.5351,,,,,,,,,,,,,,2.53512,,0.0,
2020,ODA Loans,South America,Bolivia,5.1666,,,,,,,,,,,,,,5.16655,,0.0,
2020,ODA Loans,South America,Argentina,0.0,,,,,,,,0.0,,,,,,,,,
2020,Other Official Flows (non Export Credit),Asia,Sri Lanka,101.0951,,,,,,,,,,,,,,,33.15963,67.93548,
2020,Other Official Flows (non Export Credit),Asia,Uzbekistan,132.7367,,,,,132.73674,0.0,,,,,,,,,,,0.0
2020,ODA Loans,Oceania,Tonga,0.0,,,,,,,,,,,,,,,,0.0,
2020,Other Official Flows (non Export Credit),South America,Brazil,177.9861,,,,,,,,,,0.0,,,0.0,156.04622,21.93986,,
2020,Other Official Flows (non Export Credit),North & Central America,Jamaica,108.8085,,,,,,,,,,,,,,108.80849,0.0,,
2020,Other Official Flows (non Export Credit),North & Central America,Panama,65.3543,,,,,,,,,,0.0,,,,20.17598,45.17834,,
2020,Other Official Flows (non Export Credit),North & Central America,Saint Vincent and the Grenadines,0.0,,,,,,,,,,,,,,,0.0,,
2020,Other Official Flows (non Export Credit),Oceania,Papua New Guinea,157.1154,,,,,157.1154,,,,,,,,,,0.0,,
2020,Other Official Flows (non Export Credit),South America,Argentina,636.693,,,,,,,,,,0.0,,,,377.71212,258.98086,,
2020,Other Official Flows (non Export Credit),South America,Bolivia,75.3036,,,,,,,,,,0.0,,,,,75.30362,,
2020,Other Official Flows (non Export Credit),South America,Colombia,269.919,,,,,,,,,,,,,,0.0,269.91899,,
2020,Other Official Flows (non Export Credit),Asia,Viet Nam,1.2003,,,,,0.20176,,,,,,,,,,,0.99853,
2020,Other Official Flows (non Export Credit),South America,Ecuador,175.8202,,,,,,,,,,0.0,,,,157.31804,18.50211,,
2020,Other Official Flows (non Export Credit),South America,Paraguay,17.7826,,,,,,,,,,,,,,,17.78255,,
2020,Other Official Flows (non Export Credit),South America,Peru,325.2745,,,,,,,,,,,,,,324.16351,1.11102,,
2020,Other Official Flows (non Export Credit),South America,"South America, regional",0.0,,,,,,,,,,0.0,,,,,,,
2020,Other Official Flows (non Export Credit),South America,Suriname,1.4697,,,,,,,,,,,,,,1.46974,,,
2020,ODA Loans,Africa,Liberia,8.9818,,,,,,,,,,,,,,,,8.98176,
2020,Other Official Flows (non Export Credit),North & Central America,Guatemala,0.0,,,,,,,,,,,,,,,0.0,,
2020,Other Official Flows (non Export Credit),North & Central America,El Salvador,18.9568,,,,,,,,,,,,,,18.90367,0.05309,,
2020,Other Official Flows (non Export Credit),North & Central America,Dominican Republic,42.6707,,,,,,,,,,,,,,2.31872,40.35197,,
2020,Other Official Flows (non Export Credit),North & Central America,Costa Rica,111.4989,,,,,,,,,,0.0,,,,0.0,111.49886,,
2020,Other Official Flows (non Export Credit),North & Central America,Belize,0.0,,,,,,,,,,,,,,0.0,,,
2020,Other Official Flows (non Export Credit),North & Central America,"America, regional",0.0,,,,,,,,,,,,,0.0,,,,
2020,Other Official Flows (non Export Credit),Middle East,Lebanon,16.5929,,,,,,,,,,,,,,,16.59295,,
2020,Other Official Flows (non Export Credit),Middle East,Iraq,12.5964,,,,,,,,,,,,,,,12.59639,,
2020,Other Official Flows (non Export Credit),Middle East,Iran,54.6937,,,,,,,,,,,,,,,54.69374,,
2020,Other Official Flows (non Export Credit),Europe,Ukraine,99.351,,,,,,,,,,,,,,,99.35099,,
2020,Other Official Flows (non Export Credit),Europe,Turkey,212.261,,,,,,0.0,,,121.01355,,0.0,,,,91.24747,,
2020,Other Official Flows (non Export Credit),Europe,Serbia,10.0031,,,,,,,,,6.05068,,,,,,3.95244,,
2020,Other Official Flows (non Export Credit),Europe,North Macedonia,15.3419,,,,,,,,,0.0,,,,,,15.34192,,
2020,Other Official Flows (non Export Credit),Europe,Moldova,12.1014,,,,,,,,,12.10135,,,,,,,,
2020,Other Official Flows (non Export Credit),Europe,Bosnia and Herzegovina,3.7079,,,,,,,,,,,,,,,3.70791,,
2020,Other Official Flows (non Export Credit),Europe,Belarus,7.8102,,,,,,,,,,,,,,,7.81018,,
2020,Other Official Flows (non Export Credit),Europe,Albania,10.1968,,,,,,,,,4.84054,,,,,,5.35626,,
2020,ODA Loans,Oceania,Vanuatu,0.7307,,,,,0.7307,,,,,,,,,,,,
2020,Other Official Flows (non Export Credit),Middle East,Jordan,55.8447,,,,,,,,,,,,,,,55.84466,,
2020,ODA Loans,Oceania,Solomon Islands,2.6547,,,,,2.65473,,,,,,,,,,,0.0,
2020,ODA Loans,Asia,Bhutan,10.6119,,,,,0.0,,,,,,,,,,,10.61189,
2020,ODA Loans,Africa,Zambia,23.4754,,0.0,,,,,,,,,,,,,,23.47542,
2020,ODA Loans,Africa,Zimbabwe,0.0,,,0.0,,,,,,,,,,,,,,
2020,ODA Loans,Asia,Afghanistan,0.0,,,,,0.0,,,,,,,,,,,,
2020,ODA Loans,Asia,Armenia,4.3481,,,,,,,,,,,,,,,,4.34812,
2020,ODA Loans,Asia,Azerbaijan,0.0,,,,,,,,,,,,,,,,0.0,
2020,ODA Loans,Asia,Bangladesh,231.2507,,,,,40.85677,,,,,,,,,,,190.39396,0.0
2020,ODA Loans,Asia,Cambodia,128.9998,,,,,91.177,,,,,,,,,,,37.82283,
2020,ODA Loans,Asia,Mongolia,29.5612,,,,,22.56931,,,,,,,,,,,6.99191,
2020,ODA Loans,Asia,China (People's Republic of),0.0,,,,,,,,,,,,,,,,0.0,
2020,ODA Loans,Asia,Georgia,0.0,,,,,0.0,,,,,,,,,,,0.0,
2020,ODA Loans,Asia,India,159.7434,,,,,,,,,,,,,,,,159.74335,
2020,ODA Loans,Asia,Indonesia,3.0223,,,,,3.02231,,,,,,,,,,,0.0,
2020,ODA Loans,Asia,Kyrgyzstan,9.1768,,,,,5.00552,,,,,,,,,,,4.17133,
2020,ODA Loans,Asia,Lao People's Democratic Republic,12.7905,,,,,1.98415,,,,,,,,,,,10.80637,
2020,ODA Loans,Africa,Uganda,18.1324,,12.81026,,,,,,,,,,,,,,5.32217,
2020,ODA Loans,Africa,Tunisia,0.0,,,,0.0,,,,,,,,,,,,0.0,
2020,ODA Loans,Africa,Togo,10.7921,,,,,,,,,,,,,,,,10.7921,
2020,ODA Loans,Africa,Tanzania,48.6584,,0.53774,,,,,,,,,,,,,,48.12071,
2020,ODA Loans,Africa,Somalia,0.0,,0.0,,,,,,,,,,,,,,,
2020,ODA Loans,Africa,Senegal,32.0198,,0.0,0.0,,,,,,,,,,,,,32.01975,
2020,ODA Loans,Africa,Sao Tome and Principe,0.0,,,,,,,,,,,,,,,,0.0,
2020,ODA Loans,Africa,Rwanda,24.9726,,2.50714,,,,,,,,,,,,,,22.4655,
2020,ODA Loans,Africa,Nigeria,87.5747,,0.0,,,,,,,,,,,,,,87.57466,
2020,ODA Loans,Africa,Niger,23.1506,,0.0,,,,,,,,,,,,,,23.15058,
2020,ODA Loans,Africa,Mozambique,6.2776,,0.0,,,,,,,,,,,,,,6.27757,
2020,ODA Loans,Africa,Morocco,120.7291,,0.0,,0.0,,,,,,,,120.72913,,,,,
2020,ODA Loans,Africa,Mauritania,2.9493,,0.0,,0.0,,,,,,,,,,,,2.94931,
2020,ODA Loans,Africa,Mali,8.3675,,0.0,0.0,,,,,,,,,,,,,8.36751,0.0
2020,ODA Loans,Africa,Malawi,1.6563,,0.0,,,,,,,,,,,,,,1.65628,
2020,ODA Loans,Oceania,Samoa,0.0,,,,,,,,,,,,,,,,0.0,
2020,ODA Loans,Africa,Madagascar,2.5317,,0.0,0.0,,,,,,,,,,,,,2.5317,
2020,ODA Loans,Asia,Maldives,9.2694,,,,,7.43326,,,,,,,,,,,1.83618,0.0
2020,ODA Loans,Africa,Sierra Leone,10.3099,,0.0,,,,,,,,,,,,,,10.3099,0.0
2020,ODA Loans,North & Central America,Nicaragua,68.5162,,,,,,,,,,,,,,53.20321,,15.31304,
2020,ODA Loans,North & Central America,Saint Lucia,7.1685,,,,,,,0.0,,,,,,,,,7.16853,
2020,ODA Loans,North & Central America,Costa Rica,0.0,,,,,,,,0.0,,,,,,,,,
2020,ODA Loans,North & Central America,Dominica,2.1574,,,,,,,,,,,,,,,,2.15743,
2020,ODA Loans,North & Central America,El Salvador,0.0,,,,,,,,,,,,,,0.0,,,
2020,ODA Loans,North & Central America,Grenada,2.1329,,,,,,,,,,,,,,,,2.13289,
2020,ODA Loans,North & Central America,Guatemala,2.0452,,,,,,,,,,,,,,2.04525,,,
2020,ODA Loans,North & Central America,Honduras,117.0985,,,,,,,,53.0947,,,,,,14.86651,,49.13727,
2020,ODA Loans,North & Central America,Saint Vincent and the Grenadines,1.9332,,,,,,,,,,,,,,,,1.93315,
2020,ODA Loans,Middle East,Jordan,0.0,,,,0.0,,,,,,,,,,,,,
2020,ODA Loans,Oceania,Fiji,0.1015,,,,,,,,,,,,,,,,0.1015,
2020,ODA Loans,Oceania,Marshall Islands,0.0,,,,,0.0,,,,,,,,,,,,
2020,ODA Loans,Oceania,Micronesia,0.0,,,,,0.0,,,,,,,,,,,,
2020,ODA Loans,Oceania,Papua New Guinea,47.352,,,,,30.29818,,,,,,,,,,,17.05383,
2020,ODA Loans,Oceania,Palau,10.6189,,,,,10.61894,,,,,,,,,,,,
2020,ODA Loans,Asia,Nepal,174.9367,,,,,132.7876,,,,,,,,,,,42.14907,
2020,ODA Loans,Middle East,Yemen,0.0,,,,,,,,,,,,,,,,0.0,
2020,ODA Loans,North & Central America,Dominican Republic,0.0,,,,,,,,,,,,,,0.0,,,
2020,ODA Loans,Europe,Turkey,0.0,,,,,,,,,,,,0.0,,,,,
2020,ODA Loans,Europe,Bosnia and Herzegovina,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,
2020,ODA Loans,Asia,Pakistan,302.5329,,,,,2.84146,,,,,,,,,,,299.69144,
2020,ODA Loans,Asia,Philippines,0.0,,,,,0.0,,,,,,,,,,,0.0,
2020,ODA Loans,Asia,Sri Lanka,32.9938,,,,,11.73208,,,,,,,,,,,21.26171,
2020,ODA Loans,Asia,Tajikistan,0.313,,,,,0.31296,,,,,,,,,,,0.0,
2020,ODA Loans,Asia,Uzbekistan,77.2365,,,,,20.24624,,,,,,,,,,,56.99028,
2020,ODA Loans,Europe,Serbia,0.0,,,,,,,,,,,,0.0,,,,0.0,
2020,ODA Loans,Europe,Albania,0.0,,,,,,,,,0.0,,,,,,,0.0,
2020,ODA Loans,Asia,Viet Nam,63.5877,,,,,29.19772,,,,,,,,,,,34.38997,
2020,ODA Loans,Europe,Kosovo,42.0568,,,,,,,,,21.52074,,,,,,,20.53609,
2020,ODA Loans,Europe,Moldova,14.1415,,,,,,,,,2.99226,,,,,,,11.14925,
2020,ODA Loans,Europe,Montenegro,0.0,,,,,,,,,,,,,,,,0.0,
2020,ODA Loans,Europe,North Macedonia,0.0,,,,,,,,,,,,,,,,0.0,
2019,ODA Loans,Africa,Madagascar,0.1718,,0.0,,,,,,,,,,,,,,0.17176,
