year,source,country,value
2000-01-01,domestic private excluding out-of-pocket,Rwanda,0.977
2001-01-01,domestic private excluding out-of-pocket,Rwanda,1.154
2002-01-01,domestic private excluding out-of-pocket,Rwanda,1.402
2003-01-01,domestic private excluding out-of-pocket,Rwanda,1.845
2004-01-01,domestic private excluding out-of-pocket,Rwanda,1.705
2005-01-01,domestic private excluding out-of-pocket,Rwanda,1.603
2006-01-01,domestic private excluding out-of-pocket,Rwanda,3.071
2007-01-01,domestic private excluding out-of-pocket,Rwanda,3.602
2008-01-01,domestic private excluding out-of-pocket,Rwanda,4.22
2009-01-01,domestic private excluding out-of-pocket,Rwanda,4.66
2010-01-01,domestic private excluding out-of-pocket,Rwanda,5.121
2011-01-01,domestic private excluding out-of-pocket,Rwanda,5.44
2012-01-01,domestic private excluding out-of-pocket,Rwanda,5.419
2013-01-01,domestic private excluding out-of-pocket,Rwanda,4.73
2014-01-01,domestic private excluding out-of-pocket,Rwanda,4.198
2015-01-01,domestic private excluding out-of-pocket,Rwanda,6.297
2016-01-01,domestic private excluding out-of-pocket,Rwanda,6.474
2017-01-01,domestic private excluding out-of-pocket,Rwanda,6.335
2018-01-01,domestic private excluding out-of-pocket,Rwanda,7.063
2019-01-01,domestic private excluding out-of-pocket,Rwanda,7.579
2020-01-01,domestic private excluding out-of-pocket,Rwanda,7.664
2021-01-01,domestic private excluding out-of-pocket,Rwanda,7.942
2000-01-01,domestic private excluding out-of-pocket,Rwanda,7.925
2001-01-01,domestic private excluding out-of-pocket,Rwanda,9.489
2002-01-01,domestic private excluding out-of-pocket,Rwanda,11.74
2003-01-01,domestic private excluding out-of-pocket,Rwanda,15.806
2004-01-01,domestic private excluding out-of-pocket,Rwanda,14.988
2005-01-01,domestic private excluding out-of-pocket,Rwanda,14.473
2006-01-01,domestic private excluding out-of-pocket,Rwanda,28.472
2007-01-01,domestic private excluding out-of-pocket,Rwanda,34.306
2008-01-01,domestic private excluding out-of-pocket,Rwanda,41.283
2009-01-01,domestic private excluding out-of-pocket,Rwanda,46.803
2010-01-01,domestic private excluding out-of-pocket,Rwanda,52.793
2011-01-01,domestic private excluding out-of-pocket,Rwanda,57.538
2012-01-01,domestic private excluding out-of-pocket,Rwanda,58.748
2013-01-01,domestic private excluding out-of-pocket,Rwanda,52.507
2014-01-01,domestic private excluding out-of-pocket,Rwanda,47.721
2015-01-01,domestic private excluding out-of-pocket,Rwanda,73.318
2016-01-01,domestic private excluding out-of-pocket,Rwanda,77.238
2017-01-01,domestic private excluding out-of-pocket,Rwanda,77.479
2018-01-01,domestic private excluding out-of-pocket,Rwanda,88.509
2019-01-01,domestic private excluding out-of-pocket,Rwanda,97.277
2020-01-01,domestic private excluding out-of-pocket,Rwanda,100.753
2021-01-01,domestic private excluding out-of-pocket,Rwanda,106.921
2000-01-01,domestic private excluding out-of-pocket,Rwanda,0.314
2001-01-01,domestic private excluding out-of-pocket,Rwanda,0.346
2002-01-01,domestic private excluding out-of-pocket,Rwanda,0.378
2003-01-01,domestic private excluding out-of-pocket,Rwanda,0.498
2004-01-01,domestic private excluding out-of-pocket,Rwanda,0.44
2005-01-01,domestic private excluding out-of-pocket,Rwanda,0.388
2006-01-01,domestic private excluding out-of-pocket,Rwanda,0.7
2007-01-01,domestic private excluding out-of-pocket,Rwanda,0.783
2008-01-01,domestic private excluding out-of-pocket,Rwanda,0.848
2009-01-01,domestic private excluding out-of-pocket,Rwanda,0.905
2010-01-01,domestic private excluding out-of-pocket,Rwanda,0.951
2011-01-01,domestic private excluding out-of-pocket,Rwanda,0.96
2012-01-01,domestic private excluding out-of-pocket,Rwanda,0.902
2013-01-01,domestic private excluding out-of-pocket,Rwanda,0.77
2014-01-01,domestic private excluding out-of-pocket,Rwanda,0.659
2015-01-01,domestic private excluding out-of-pocket,Rwanda,0.93
2016-01-01,domestic private excluding out-of-pocket,Rwanda,0.924
2017-01-01,domestic private excluding out-of-pocket,Rwanda,0.892
2018-01-01,domestic private excluding out-of-pocket,Rwanda,0.939
2019-01-01,domestic private excluding out-of-pocket,Rwanda,0.943
2020-01-01,domestic private excluding out-of-pocket,Rwanda,1.011
2021-01-01,domestic private excluding out-of-pocket,Rwanda,0.967
2000-01-01,domestic private excluding out-of-pocket,Rwanda,8.06
2001-01-01,domestic private excluding out-of-pocket,Rwanda,9.45
2002-01-01,domestic private excluding out-of-pocket,Rwanda,10.79
2003-01-01,domestic private excluding out-of-pocket,Rwanda,6.71
2004-01-01,domestic private excluding out-of-pocket,Rwanda,5.53
2005-01-01,domestic private excluding out-of-pocket,Rwanda,4.79
2006-01-01,domestic private excluding out-of-pocket,Rwanda,8.42
2007-01-01,domestic private excluding out-of-pocket,Rwanda,9.06
2008-01-01,domestic private excluding out-of-pocket,Rwanda,10.08
2009-01-01,domestic private excluding out-of-pocket,Rwanda,10.39
2010-01-01,domestic private excluding out-of-pocket,Rwanda,10.52
2011-01-01,domestic private excluding out-of-pocket,Rwanda,10.79
2012-01-01,domestic private excluding out-of-pocket,Rwanda,10.02
2013-01-01,domestic private excluding out-of-pocket,Rwanda,10.2
2014-01-01,domestic private excluding out-of-pocket,Rwanda,8.62
2015-01-01,domestic private excluding out-of-pocket,Rwanda,12.27
2016-01-01,domestic private excluding out-of-pocket,Rwanda,11.73
2017-01-01,domestic private excluding out-of-pocket,Rwanda,12.25
2018-01-01,domestic private excluding out-of-pocket,Rwanda,12.29
2019-01-01,domestic private excluding out-of-pocket,Rwanda,12.93
2020-01-01,domestic private excluding out-of-pocket,Rwanda,11.9
2021-01-01,domestic private excluding out-of-pocket,Rwanda,11.66
2000-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.163
2001-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.276
2002-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.482
2003-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.75
2004-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.809
2005-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.831
2006-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,4.901
2007-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,4.801
2008-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,5.336
2009-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,5.018
2010-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.842
2011-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.813
2012-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,4.0
2013-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,4.586
2014-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.374
2015-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.723
2016-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.198
2017-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,2.255
2018-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.665
2019-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,2.501
2020-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.202
2021-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.318
2000-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.455
2001-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.479
2002-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.522
2003-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.577
2004-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.601
2005-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.619
2006-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.812
2007-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.815
2008-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.929
2009-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.894
2010-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.7
2011-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.709
2012-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.76
2013-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.889
2014-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.666
2015-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.347
2016-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.654
2017-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.469
2018-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.775
2019-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.537
2020-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.7
2021-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.74
2000-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.196
2001-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.201
2002-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.214
2003-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.222
2004-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.223
2005-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.214
2006-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.258
2007-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.25
2008-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.264
2009-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.246
2010-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.19
2011-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.188
2012-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.196
2013-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.218
2014-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.156
2015-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.08
2016-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.143
2017-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.099
2018-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.156
2019-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.106
2020-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.135
2021-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,0.14
2000-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.83
2001-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.82
2002-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.96
2003-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.72
2004-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.83
2005-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.82
2006-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.01
2007-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,2.96
2008-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.55
2009-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,3.5
2010-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,2.6
2011-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,2.65
2012-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,2.7
2013-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,2.38
2014-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.92
2015-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.22
2016-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.85
2017-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.3
2018-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,2.57
2019-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.9
2020-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.81
2021-01-01,domestic private excluding out-of-pocket,Sao Tome and Principe,1.75
2000-01-01,domestic private excluding out-of-pocket,Senegal,2.193
2001-01-01,domestic private excluding out-of-pocket,Senegal,2.371
2002-01-01,domestic private excluding out-of-pocket,Senegal,2.765
2003-01-01,domestic private excluding out-of-pocket,Senegal,3.33
2004-01-01,domestic private excluding out-of-pocket,Senegal,4.165
2005-01-01,domestic private excluding out-of-pocket,Senegal,4.992
2006-01-01,domestic private excluding out-of-pocket,Senegal,5.05
2007-01-01,domestic private excluding out-of-pocket,Senegal,4.996
2008-01-01,domestic private excluding out-of-pocket,Senegal,5.661
2009-01-01,domestic private excluding out-of-pocket,Senegal,5.523
2010-01-01,domestic private excluding out-of-pocket,Senegal,5.391
2011-01-01,domestic private excluding out-of-pocket,Senegal,5.263
2012-01-01,domestic private excluding out-of-pocket,Senegal,5.223
2013-01-01,domestic private excluding out-of-pocket,Senegal,4.967
2014-01-01,domestic private excluding out-of-pocket,Senegal,3.951
2015-01-01,domestic private excluding out-of-pocket,Senegal,4.007
2016-01-01,domestic private excluding out-of-pocket,Senegal,3.962
2017-01-01,domestic private excluding out-of-pocket,Senegal,5.363
2018-01-01,domestic private excluding out-of-pocket,Senegal,4.185
2019-01-01,domestic private excluding out-of-pocket,Senegal,6.063
2020-01-01,domestic private excluding out-of-pocket,Senegal,6.651
2021-01-01,domestic private excluding out-of-pocket,Senegal,6.028
2000-01-01,domestic private excluding out-of-pocket,Senegal,21.277
2001-01-01,domestic private excluding out-of-pocket,Senegal,23.567
2002-01-01,domestic private excluding out-of-pocket,Senegal,28.154
2003-01-01,domestic private excluding out-of-pocket,Senegal,34.745
2004-01-01,domestic private excluding out-of-pocket,Senegal,44.558
2005-01-01,domestic private excluding out-of-pocket,Senegal,54.782
2006-01-01,domestic private excluding out-of-pocket,Senegal,56.885
2007-01-01,domestic private excluding out-of-pocket,Senegal,57.772
2008-01-01,domestic private excluding out-of-pocket,Senegal,67.212
2009-01-01,domestic private excluding out-of-pocket,Senegal,67.348
2010-01-01,domestic private excluding out-of-pocket,Senegal,67.55
2011-01-01,domestic private excluding out-of-pocket,Senegal,67.772
2012-01-01,domestic private excluding out-of-pocket,Senegal,69.104
2013-01-01,domestic private excluding out-of-pocket,Senegal,67.534
2014-01-01,domestic private excluding out-of-pocket,Senegal,55.201
2015-01-01,domestic private excluding out-of-pocket,Senegal,57.532
2016-01-01,domestic private excluding out-of-pocket,Senegal,58.441
2017-01-01,domestic private excluding out-of-pocket,Senegal,81.296
2018-01-01,domestic private excluding out-of-pocket,Senegal,65.18
2019-01-01,domestic private excluding out-of-pocket,Senegal,97.01
2020-01-01,domestic private excluding out-of-pocket,Senegal,109.312
2021-01-01,domestic private excluding out-of-pocket,Senegal,101.73
2000-01-01,domestic private excluding out-of-pocket,Senegal,0.18
2001-01-01,domestic private excluding out-of-pocket,Senegal,0.191
2002-01-01,domestic private excluding out-of-pocket,Senegal,0.228
2003-01-01,domestic private excluding out-of-pocket,Senegal,0.266
2004-01-01,domestic private excluding out-of-pocket,Senegal,0.326
2005-01-01,domestic private excluding out-of-pocket,Senegal,0.385
2006-01-01,domestic private excluding out-of-pocket,Senegal,0.39
2007-01-01,domestic private excluding out-of-pocket,Senegal,0.386
2008-01-01,domestic private excluding out-of-pocket,Senegal,0.433
2009-01-01,domestic private excluding out-of-pocket,Senegal,0.422
2010-01-01,domestic private excluding out-of-pocket,Senegal,0.409
2011-01-01,domestic private excluding out-of-pocket,Senegal,0.405
2012-01-01,domestic private excluding out-of-pocket,Senegal,0.397
2013-01-01,domestic private excluding out-of-pocket,Senegal,0.379
2014-01-01,domestic private excluding out-of-pocket,Senegal,0.292
2015-01-01,domestic private excluding out-of-pocket,Senegal,0.286
2016-01-01,domestic private excluding out-of-pocket,Senegal,0.273
2017-01-01,domestic private excluding out-of-pocket,Senegal,0.354
2018-01-01,domestic private excluding out-of-pocket,Senegal,0.267
2019-01-01,domestic private excluding out-of-pocket,Senegal,0.38
2020-01-01,domestic private excluding out-of-pocket,Senegal,0.422
2021-01-01,domestic private excluding out-of-pocket,Senegal,0.369
2000-01-01,domestic private excluding out-of-pocket,Senegal,4.82
2001-01-01,domestic private excluding out-of-pocket,Senegal,4.93
2002-01-01,domestic private excluding out-of-pocket,Senegal,5.45
2003-01-01,domestic private excluding out-of-pocket,Senegal,5.84
2004-01-01,domestic private excluding out-of-pocket,Senegal,6.67
2005-01-01,domestic private excluding out-of-pocket,Senegal,9.48
2006-01-01,domestic private excluding out-of-pocket,Senegal,9.4
2007-01-01,domestic private excluding out-of-pocket,Senegal,10.15
2008-01-01,domestic private excluding out-of-pocket,Senegal,10.98
2009-01-01,domestic private excluding out-of-pocket,Senegal,9.9
2010-01-01,domestic private excluding out-of-pocket,Senegal,9.22
2011-01-01,domestic private excluding out-of-pocket,Senegal,8.77
2012-01-01,domestic private excluding out-of-pocket,Senegal,8.52
2013-01-01,domestic private excluding out-of-pocket,Senegal,7.96
2014-01-01,domestic private excluding out-of-pocket,Senegal,6.23
2015-01-01,domestic private excluding out-of-pocket,Senegal,6.13
2016-01-01,domestic private excluding out-of-pocket,Senegal,6.03
2017-01-01,domestic private excluding out-of-pocket,Senegal,7.83
2018-01-01,domestic private excluding out-of-pocket,Senegal,5.68
2019-01-01,domestic private excluding out-of-pocket,Senegal,7.79
2020-01-01,domestic private excluding out-of-pocket,Senegal,7.58
2021-01-01,domestic private excluding out-of-pocket,Senegal,7.8
2000-01-01,domestic private excluding out-of-pocket,Seychelles,-0.0
2001-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2002-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2003-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2004-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2005-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2006-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2007-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2008-01-01,domestic private excluding out-of-pocket,Seychelles,-0.0
2009-01-01,domestic private excluding out-of-pocket,Seychelles,0.956
2010-01-01,domestic private excluding out-of-pocket,Seychelles,21.071
2011-01-01,domestic private excluding out-of-pocket,Seychelles,0.249
2012-01-01,domestic private excluding out-of-pocket,Seychelles,18.221
2013-01-01,domestic private excluding out-of-pocket,Seychelles,5.861
2014-01-01,domestic private excluding out-of-pocket,Seychelles,1.399
2015-01-01,domestic private excluding out-of-pocket,Seychelles,0.221
2016-01-01,domestic private excluding out-of-pocket,Seychelles,10.262
2017-01-01,domestic private excluding out-of-pocket,Seychelles,11.138
2018-01-01,domestic private excluding out-of-pocket,Seychelles,10.989
2019-01-01,domestic private excluding out-of-pocket,Seychelles,13.62
2020-01-01,domestic private excluding out-of-pocket,Seychelles,10.688
2021-01-01,domestic private excluding out-of-pocket,Seychelles,10.879
2000-01-01,domestic private excluding out-of-pocket,Seychelles,-0.0
2001-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2002-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2003-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2004-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2005-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2006-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2007-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2008-01-01,domestic private excluding out-of-pocket,Seychelles,-0.0
2009-01-01,domestic private excluding out-of-pocket,Seychelles,0.087
2010-01-01,domestic private excluding out-of-pocket,Seychelles,1.947
2011-01-01,domestic private excluding out-of-pocket,Seychelles,0.023
2012-01-01,domestic private excluding out-of-pocket,Seychelles,1.737
2013-01-01,domestic private excluding out-of-pocket,Seychelles,0.567
2014-01-01,domestic private excluding out-of-pocket,Seychelles,0.137
2015-01-01,domestic private excluding out-of-pocket,Seychelles,0.022
2016-01-01,domestic private excluding out-of-pocket,Seychelles,1.031
2017-01-01,domestic private excluding out-of-pocket,Seychelles,1.134
2018-01-01,domestic private excluding out-of-pocket,Seychelles,1.133
2019-01-01,domestic private excluding out-of-pocket,Seychelles,1.422
2020-01-01,domestic private excluding out-of-pocket,Seychelles,1.128
2021-01-01,domestic private excluding out-of-pocket,Seychelles,1.158
2000-01-01,domestic private excluding out-of-pocket,Seychelles,-0.0
2001-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2002-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2003-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2004-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2005-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2006-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2007-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2008-01-01,domestic private excluding out-of-pocket,Seychelles,-0.0
2009-01-01,domestic private excluding out-of-pocket,Seychelles,0.01
2010-01-01,domestic private excluding out-of-pocket,Seychelles,0.219
2011-01-01,domestic private excluding out-of-pocket,Seychelles,0.002
2012-01-01,domestic private excluding out-of-pocket,Seychelles,0.178
2013-01-01,domestic private excluding out-of-pocket,Seychelles,0.055
2014-01-01,domestic private excluding out-of-pocket,Seychelles,0.013
2015-01-01,domestic private excluding out-of-pocket,Seychelles,0.002
2016-01-01,domestic private excluding out-of-pocket,Seychelles,0.077
2017-01-01,domestic private excluding out-of-pocket,Seychelles,0.079
2018-01-01,domestic private excluding out-of-pocket,Seychelles,0.074
2019-01-01,domestic private excluding out-of-pocket,Seychelles,0.089
2020-01-01,domestic private excluding out-of-pocket,Seychelles,0.077
2021-01-01,domestic private excluding out-of-pocket,Seychelles,0.077
2000-01-01,domestic private excluding out-of-pocket,Seychelles,-0.0
2001-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2002-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2003-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2004-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2005-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2006-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2007-01-01,domestic private excluding out-of-pocket,Seychelles,0.0
2008-01-01,domestic private excluding out-of-pocket,Seychelles,-0.0
2009-01-01,domestic private excluding out-of-pocket,Seychelles,0.29
2010-01-01,domestic private excluding out-of-pocket,Seychelles,4.64
2011-01-01,domestic private excluding out-of-pocket,Seychelles,0.05
2012-01-01,domestic private excluding out-of-pocket,Seychelles,3.19
2013-01-01,domestic private excluding out-of-pocket,Seychelles,1.27
2014-01-01,domestic private excluding out-of-pocket,Seychelles,0.27
2015-01-01,domestic private excluding out-of-pocket,Seychelles,0.04
2016-01-01,domestic private excluding out-of-pocket,Seychelles,1.6
2017-01-01,domestic private excluding out-of-pocket,Seychelles,1.74
2018-01-01,domestic private excluding out-of-pocket,Seychelles,1.62
2019-01-01,domestic private excluding out-of-pocket,Seychelles,2.03
2020-01-01,domestic private excluding out-of-pocket,Seychelles,1.27
2021-01-01,domestic private excluding out-of-pocket,Seychelles,1.49
2000-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.14
2001-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.14
2002-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.167
2003-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.174
2004-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.174
2005-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.174
2006-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.172
2007-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.188
2008-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.198
2009-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.201
2010-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.167
2011-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.218
2012-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.228
2013-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.322
2014-01-01,domestic private excluding out-of-pocket,Sierra Leone,6.315
2015-01-01,domestic private excluding out-of-pocket,Sierra Leone,4.904
2016-01-01,domestic private excluding out-of-pocket,Sierra Leone,5.085
2017-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.774
2018-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.353
2019-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.604
2020-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.507
2021-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.122
2000-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.642
2001-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.679
2002-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.858
2003-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.931
2004-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.961
2005-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.988
2006-01-01,domestic private excluding out-of-pocket,Sierra Leone,1.001
2007-01-01,domestic private excluding out-of-pocket,Sierra Leone,1.118
2008-01-01,domestic private excluding out-of-pocket,Sierra Leone,1.205
2009-01-01,domestic private excluding out-of-pocket,Sierra Leone,1.256
2010-01-01,domestic private excluding out-of-pocket,Sierra Leone,1.072
2011-01-01,domestic private excluding out-of-pocket,Sierra Leone,1.44
2012-01-01,domestic private excluding out-of-pocket,Sierra Leone,1.551
2013-01-01,domestic private excluding out-of-pocket,Sierra Leone,2.246
2014-01-01,domestic private excluding out-of-pocket,Sierra Leone,45.092
2015-01-01,domestic private excluding out-of-pocket,Sierra Leone,35.875
2016-01-01,domestic private excluding out-of-pocket,Sierra Leone,38.107
2017-01-01,domestic private excluding out-of-pocket,Sierra Leone,5.942
2018-01-01,domestic private excluding out-of-pocket,Sierra Leone,2.776
2019-01-01,domestic private excluding out-of-pocket,Sierra Leone,4.864
2020-01-01,domestic private excluding out-of-pocket,Sierra Leone,4.177
2021-01-01,domestic private excluding out-of-pocket,Sierra Leone,1.029
2000-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.055
2001-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.049
2002-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.049
2003-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.049
2004-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.047
2005-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.046
2006-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.045
2007-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.047
2008-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.048
2009-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.048
2010-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.039
2011-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.049
2012-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.046
2013-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.055
2014-01-01,domestic private excluding out-of-pocket,Sierra Leone,1.06
2015-01-01,domestic private excluding out-of-pocket,Sierra Leone,1.061
2016-01-01,domestic private excluding out-of-pocket,Sierra Leone,1.059
2017-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.159
2018-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.072
2019-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.12
2020-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.105
2021-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.025
2000-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.64
2001-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.58
2002-01-01,domestic private excluding out-of-pocket,Sierra Leone,0.52
